company_names,about,jobs,location,salaries,reviews,interviews,ratings
TCS,IT Services & Consulting,3.4k,Bengaluru,9.9L,1.1L,11.9k,3.3
Accenture,IT Services & Consulting,32.4k,Bengaluru,6.5L,72.3k,9.2k,3.7
Wipro,IT Services & Consulting,2k,Hyderabad,4.8L,64.2k,6.7k,3.6
Cognizant,IT Services & Consulting,529,Hyderabad,6L,60.5k,6.4k,3.6
Capgemini,IT Services & Consulting,2.5k,Bengaluru,4.8L,52.2k,5.5k,3.7
HDFC Bank,Banking,374,Mumbai,1.5L,51.3k,3k,3.8
Infosys,IT Services & Consulting,2.6k,Bengaluru,5.2L,47.9k,8.4k,3.5
ICICI Bank,Banking,16,Mumbai,1.5L,45.3k,2.9k,3.9
HCLTech,IT Services & Consulting,282,Chennai,3.8L,45.1k,4.5k,3.4
Tech Mahindra,IT Services & Consulting,670,Hyderabad,2.8L,42.8k,4.5k,3.4
Genpact,Analytics & KPO,977,Hyderabad,2.3L,41.4k,3.8k,3.6
Teleperformance,BPO,2k,Mumbai,96.8k,37.4k,2.2k,3.8
Jio,Telecom,1,Mumbai,62.2k,33.4k,4.3k,4.4
Axis Bank,Banking,205,Mumbai,1L,32.6k,1.9k,3.6
Concentrix Corporation,BPO,74,Bengaluru,1.3L,31.7k,2k,3.6
Amazon,Internet,1.9k,Bengaluru,1.5L,31k,5.9k,3.9
iEnergizer,BPO,101,Noida,24.3k,27.3k,1.4k,4.6
Reliance Retail,Retail,142,Mumbai,76.6k,27.2k,1.9k,3.9
LTIMindtree,IT Services & Consulting,466,Bengaluru,1.9L,26.1k,3.4k,3.6
IBM,IT Services & Consulting,2.2k,Bengaluru,2.1L,25.5k,2.6k,3.9
HDB Financial Services,NBFC,2k,Mumbai,49.9k,25.3k,1.1k,3.9
Larsen & Toubro Limited,Engineering & Construction,128,Chennai,75.1k,23.5k,1.8k,3.9
Deloitte,Management Consulting,1.5k,Hyderabad,2.5L,22.7k,3.3k,3.7
Kotak Mahindra Bank,Banking,173,Mumbai,87.1k,22.1k,1.4k,3.6
Reliance Industries,Oil & Gas,106,Jamnagar,72.8k,20k,1.6k,4.0
Vodafone Idea,Telecom,47,Pune,49.8k,17.5k,679,3.9
Bharti Airtel,Telecom,184,Gurugram,49.6k,17k,1.1k,3.8
BYJU'S,EdTech,1,Bengaluru,53.3k,16.4k,2.1k,3.2
WNS,IT Services & Consulting,86,Pune,70.4k,15k,1.2k,3.3
IDFC FIRST Bank,Banking,47,Mumbai,49.6k,14.3k,946,3.9
Ernst & Young,Management Consulting,3.1k,Bengaluru,1.4L,14.2k,1.3k,3.4
Tata Motors,Automobile,159,Pune,42.9k,14.1k,1.3k,4.1
IndusInd Bank,Banking,94,Mumbai,51.5k,14k,764,3.4
AU Small Finance Bank,Banking,220,Jaipur,29.3k,14k,692,3.9
Muthoot FinCorp,NBFC,8,Bengaluru,9.2k,13k,2.4k,4.6
Bajaj Finserv,NBFC,6,Pune,30.8k,12.8k,733,4.0
Flipkart,Internet,149,Bengaluru,54.9k,12.8k,1.6k,3.9
PwC,Management Consulting,1.1k,Bengaluru,1.2L,12.3k,1.6k,3.3
Mahindra & Mahindra,Automobile,2,Pune,40.2k,11.9k,848,4.0
Infosys BPM,BPO,89,Bengaluru,74.3k,11.9k,1.1k,3.5
HDFC Life,Insurance,106,Mumbai,33k,11.8k,791,3.9
DXC Technology,IT Services & Consulting,222,Bengaluru,72.1k,11.8k,895,3.6
Bandhan Bank,Banking,60,Kolkata,24.6k,10.9k,748,3.7
Digitide Solutions,IT Services & Consulting,334,Hyderabad,26.8k,10.2k,566,3.5
Mphasis,IT Services & Consulting,54,Bengaluru,73.8k,10.1k,924,3.3
Yes Bank,Banking,196,Mumbai,43.1k,10k,552,3.7
Tata Steel,Iron & Steel,--,Jamshedpur,34.2k,9.8k,1.1k,4.0
Quess,Recruitment,42,Bengaluru,31.1k,9.6k,539,3.8
Maruti Suzuki,Automobile,769,Gurugram,28.1k,9.5k,780,4.2
Asian Paints,Chemicals,70,Mumbai,25.9k,9.4k,848,3.9
Startek,BPO,172,Bengaluru,24.6k,9.4k,631,3.1
UltraTech Cement,Building Material,25,Mumbai,24.7k,9.3k,792,4.1
Paytm,FinTech,836,Noida,34.5k,9.2k,887,3.2
Bajaj Finance,NBFC,8k,Pune,23.2k,9k,435,3.9
Shriram Finance,NBFC,27,Chennai,15.2k,9k,445,4.0
Sutherland Global Services,BPO,271,Chennai,35k,8.9k,790,3.4
Equitas Small Finance Bank,Banking,26,Chennai,13.3k,8.8k,1k,4.4
Cipla,Pharma,69,Mumbai,26.5k,8.5k,594,4.1
EXL Service,Analytics & KPO,81,Noida,44.5k,8.5k,899,3.6
Wells Fargo,Financial Services,458,Bengaluru,56.9k,8.5k,684,3.6
Ericsson,Telecom,29,Noida,42.3k,8.3k,472,3.9
Samsung,Consumer Electronics & Appliances,25,Noida,26.5k,8.3k,627,3.9
Dr. Reddy's,Pharma,15,Hyderabad,26k,8.1k,507,4.0
Optum Global Solutions,IT Services & Consulting,114,Hyderabad,49.6k,7.8k,762,4.0
Delhivery,Logistics,168,Gurugram,21.4k,7.7k,607,3.8
JPMorgan Chase & Co.,Financial Services,1.1k,Bengaluru,88.2k,7.7k,868,3.8
JSW Steel,Iron & Steel,132,Ballari,31.2k,7.7k,815,3.9
ICICI Prudential Life Insurance,Insurance,203,Mumbai,23.3k,7.7k,479,3.9
Hexaware Technologies,IT Services & Consulting,513,Chennai,54.2k,7.6k,825,3.4
HGS,BPO,24,Bengaluru,20.7k,7.5k,274,3.7
Jana Small Finance Bank,Banking,46,Bengaluru,14.4k,7.5k,307,3.8
Ujjivan Small Finance Bank,Banking,618,Bengaluru,13.3k,7.5k,322,4.0
Sun Pharmaceutical Industries,Pharma,331,Vadodara,23.6k,7.5k,665,4.1
Amazon Development Centre India,Internet,4,Hyderabad,38.6k,7.4k,886,3.8
Lupin,Pharma,25,Pune,22.6k,7.3k,444,4.1
Ekart Logistics,Logistics,--,Bengaluru,16k,7.3k,407,3.9
Zydus Lifesciences,Pharma,42,Ahmedabad,20k,7.3k,443,4.0
L&T Construction,Engineering & Construction,--,Chennai,19.3k,7.2k,947,4.0
Hindustan Unilever,FMCG,59,Mumbai,20.4k,7.2k,466,4.2
KPMG India,Management Consulting,88,Bengaluru,65.9k,7.1k,930,3.4
ITC,FMCG,79,Bengaluru,24.7k,7.1k,694,3.9
Axis Max Life Insurance,Insurance,160,New Delhi,19.9k,7k,407,4.0
Megha Engineering & Infrastructures,Engineering & Construction,34,Hyderabad,18.7k,6.8k,565,3.9
Tata Projects,Engineering & Construction,71,Mumbai,22.6k,6.8k,599,4.2
Coforge,IT Services & Consulting,166,Noida,49.9k,6.7k,711,3.3
Bajaj Life Insurance,Insurance,76,Pune,17.3k,6.5k,444,3.8
L&T Technology Services,IT Services & Consulting,--,Bengaluru,43.2k,6.5k,629,3.1
Cholamandalam Investment & Finance,Financial Services,36,Chennai,12.7k,6.5k,282,3.8
FIS,FinTech,132,Pune,38.7k,6.5k,536,3.8
Oracle,Software Product,153,Bengaluru,63.1k,6.3k,949,3.5
Omega Healthcare,BPO,168,Chennai,26.8k,6.3k,549,3.8
Muthoot Finance,NBFC,149,Bengaluru,13.1k,6.3k,353,3.7
IIFL Finance,NBFC,67,Mumbai,14.1k,6.3k,327,4.0
JLL,Real Estate,331,Gurugram,24.5k,6.3k,483,4.1
Indian Army,Defence & Aerospace,--,New Delhi,9.3k,6.2k,204,4.7
eClerx,IT Services & Consulting,443,Pune,32.4k,6.2k,637,3.1
HCL Group,IT Services & Consulting,--,Chennai,39.5k,6.1k,520,3.5
DMart,Retail,181,Mumbai,18.5k,6k,549,3.9
Virtusa Consulting Services,IT Services & Consulting,1.2k,Hyderabad,56.9k,6k,673,3.7
Piramal Finance,NBFC,8,Mumbai,12k,6k,294,4.2
Indiamart Intermesh,Internet,156,Noida,21.5k,5.9k,752,3.5
HSBC Group,Financial Services,127,Bengaluru,43.7k,5.9k,547,3.9
PolicyBazaar,Internet,677,Gurugram,17.4k,5.9k,628,3.8
SMFG India Credit,NBFC,66,Mumbai,11k,5.8k,208,3.9
Access Healthcare,BPO,1.6k,Chennai,28.8k,5.8k,400,3.7
BigBasket,Internet,80,Bengaluru,19.3k,5.8k,486,3.9
Aurobindo Pharma,Pharma,24,Hyderabad,20.7k,5.7k,289,4.0
Siemens,Industrial Automation,145,Bengaluru,34.1k,5.7k,506,3.9
